Extract_GALa2_dry_vol,Plot
225.938011169,827
231.34980011,828
234.079368591,829
232.92029953,830
232.97599411,831
235.719860077,832
238.323036194,833
240.120857239,834
239.508613586,835
237.540996552,836
241.945201874,837
246.677589417,838
246.764728546,839
244.672618866,840
171.931488037,841
178.262878418,842
182.507247925,843
189.073776245,844
203.977233887,845
218.105960846,846
227.997592926,847
233.389724731,848
237.166866302,849
239.181167603,850
242.449653625,851
246.646907806,852
248.857688904,853
249.114273071,854
246.043243408,855
242.101108551,856
244.979007721,857
247.188446045,858
245.702320099,859
244.139972687,860
169.819740295,861
174.097705841,862
174.646072388,863
176.655979156,864
185.361873627,865
206.833946228,866
229.705635071,867
236.481777191,868
240.217403412,869
240.930919647,870
240.812702179,871
241.75957489,872
241.762840271,873
241.750488281,874
241.210105896,875
241.977142334,876
246.121685028,877
248.397624969,878
247.157886505,879
245.402812958,880
165.484794617,881
167.389369965,882
168.652736664,883
171.571380615,884
174.313415527,885
202.514705658,886
229.324440002,887
238.111469269,888
240.768733978,889
241.567035675,890
241.109615326,891
238.830806732,892
237.01309967,893
236.353401184,894
238.831344604,895
242.590606689,896
246.203578949,897
247.678195953,898
248.721126556,899
247.563697815,900
160.507511139,901
157.576404572,902
162.295818329,903
175.53155899,904
180.009353638,905
201.823490143,906
227.279079437,907
235.532016754,908
236.885097504,909
239.449428558,910
241.858997345,911
238.985839844,912
235.085151672,913
234.261558533,914
237.164478302,915
240.66626358,916
242.534355164,917
243.241550446,918
245.195114136,919
246.383182526,920
157.461719513,921
149.020835876,922
155.179733276,923
178.852298737,924
185.957660675,925
202.153678894,926
222.460437775,927
230.303733826,928
232.80871582,929
237.479511261,930
240.868110657,931
238.449165344,932
234.796379089,933
233.502376556,934
234.868801117,935
236.132408142,936
237.32403183,937
237.526081085,938
239.129711151,939
241.472038269,940
157.053592682,941
145.431499481,942
150.163627625,943
171.60320282,944
178.809070587,945
192.572746277,946
214.270084381,947
226.154148102,948
232.885387421,949
238.543842316,950
239.775562286,951
236.196891785,952
233.911743164,953
233.322498322,954
233.435665131,955
233.260913849,956
233.880172729,957
234.482070923,958
235.972061157,959
237.919113159,960
159.860282898,961
145.467933655,962
150.235042572,963
167.47171402,964
173.691448212,965
184.824012756,966
203.218990326,967
216.285663605,968
223.773433685,969
229.214031219,970
231.595657349,971
231.802265167,972
231.4190979,973
230.731437683,974
229.172153473,975
227.687973022,976
228.20791626,977
230.281951904,978
233.05090332,979
235.34544754,980
164.46175766,981
148.759662628,982
160.167995453,983
176.210350037,984
174.174404144,985
180.848796844,986
197.251663208,987
204.295337677,988
207.097358704,989
213.158630371,990
221.196250916,991
227.729705811,992
229.316886902,993
227.326969147,994
222.807117462,995
219.660480499,996
220.589160919,997
224.397102356,998
228.926776886,999
232.564086914,1000
168.919975281,1001
157.889152527,1002
168.687496185,1003
184.608699799,1004
172.829296112,1005
179.853153229,1006
201.10900116,1007
206.863677979,1008
205.705356598,1009
208.385116577,1010
217.100753784,1011
225.327392578,1012
226.889770508,1013
223.723564148,1014
216.940769196,1015
212.986473083,1016
213.276447296,1017
217.066307068,1018
222.951122284,1019
227.446182251,1020
171.263809204,1021
161.169120789,1022
168.354698181,1023
177.200218201,1024
167.068511963,1025
173.859703064,1026
196.106170654,1027
202.781806946,1028
202.333572388,1029
204.083190918,1030
211.680412292,1031
218.652931213,1032
219.878646851,1033
216.305801392,1034
208.957458496,1035
204.996322632,1036
204.990379333,1037
207.629302979,1038
213.149520874,1039
217.760398865,1040
172.292869568,1041
161.379337311,1042
165.122966766,1043
168.290542603,1044
154.25479126,1045
167.280246735,1046
187.56848526,1047
193.541969299,1048
192.474365234,1049
193.931243896,1050
199.546485901,1051
205.181564331,1052
205.920150757,1053
202.66979599,1054
197.692646027,1055
196.361854553,1056
196.678371429,1057
196.818538666,1058
198.695404053,1059
200.975727081,1060
171.069988251,1061
162.276920319,1062
162.788757324,1063
163.532665253,1064
154.6457901,1065
166.333660126,1066
184.94367981,1067
188.887355804,1068
184.861003876,1069
183.559036255,1070
187.611587524,1071
190.196548462,1072
189.65688324,1073
189.058326721,1074
189.786621094,1075
190.713691711,1076
191.976459503,1077
191.01076889,1078
189.198375702,1079
188.303752899,1080
168.821666718,1081
160.560401917,1082
164.599384308,1083
169.210037231,1084
162.739093781,1085
