Extract_elev_2020,Plot
1155.112854004,1029
1154.460205078,1030
1153.92388916,1031
1153.133117676,1032
1152.679931641,1033
1152.164733887,1034
1151.62701416,1035
1150.889465332,1036
1150.263122559,1037
1149.721679688,1038
1149.174682617,1039
1148.770141602,1040
1156.835388184,1041
1155.956726074,1042
1155.326080322,1043
1155.325805664,1044
1155.230682373,1045
1154.86932373,1046
1154.444274902,1047
1154.04510498,1048
1153.280212402,1049
1152.667053223,1050
1152.08013916,1051
1151.455780029,1052
1150.8828125,1053
1150.431640625,1054
1149.794586182,1055
1149.261474609,1056
1148.701843262,1057
1148.115905762,1058
1147.703735352,1059
1147.417297363,1060
1156.619415283,1061
1155.719024658,1062
1154.942382812,1063
1154.470153809,1064
1153.841308594,1065
1153.034301758,1066
1152.549713135,1067
1152.072998047,1068
1151.571990967,1069
1150.80166626,1070
1150.389801025,1071
1149.669036865,1072
1149.285705566,1073
1148.690490723,1074
1148.206115723,1075
1147.677520752,1076
1147.285369873,1077
1146.778717041,1078
1146.439575195,1079
1146.087280273,1080
1156.436218262,1081
1155.543121338,1082
1154.737060547,1083
1154.072570801,1084
1153.300964355,1085
1152.479400635,1086
1152.020935059,1087
1151.520599365,1088
1150.938140869,1089
1150.372711182,1090
1149.774993896,1091
1149.151947021,1092
1148.745788574,1093
1148.319580078,1094
1147.8644104,1095
1147.412261963,1096
1147.030609131,1097
1146.643127441,1098
1146.29019165,1099
1145.968322754,1100
1156.298675537,1101
1155.367675781,1102
1154.531646729,1103
1153.857849121,1104
1153.210388184,1105
1152.394073486,1106
1151.887145996,1107
1151.398895264,1108
1150.829772949,1109
1150.248657227,1110
1149.677032471,1111
1149.084442139,1112
1148.69720459,1113
1148.305908203,1114
1147.84552002,1115
1147.472686768,1116
1147.106628418,1117
1146.767791748,1118
1146.447662354,1119
1146.181365967,1120
1156.106445312,1121
1155.24319458,1122
1154.413085938,1123
1153.879516602,1124
1153.128112793,1125
1152.379547119,1126
1151.883483887,1127
1151.382873535,1128
1150.844543457,1129
1150.249328613,1130
1149.695007324,1131
1149.105224609,1132
1148.735534668,1133
1148.363952637,1134
1147.960571289,1135
1147.567901611,1136
1147.251586914,1137
1146.954101562,1138
1146.670532227,1139
1146.41104126,1140
1156.009155273,1141
1155.10824585,1142
1154.29119873,1143
1153.745269775,1144
1153.130767822,1145
1152.360412598,1146
1151.822723389,1147
1151.328186035,1148
1150.819671631,1149
1150.225982666,1150
1149.660064697,1151
1149.118652344,1152
1148.722839355,1153
1148.392974854,1154
1148.014160156,1155
1147.626831055,1156
1147.28817749,1157
1147.039031982,1158
1146.761810303,1159
1146.52835083,1160
1155.925476074,1161
1154.988952637,1162
1154.145782471,1163
1153.495056152,1164
1152.832214355,1165
1152.050720215,1166
1151.601593018,1167
1151.093444824,1168
1150.558929443,1169
1150.063262939,1170
1149.511291504,1171
1148.981201172,1172
1148.637023926,1173
1148.289276123,1174
1147.888000488,1175
1147.518188477,1176
1147.196075439,1177
1146.887054443,1178
1146.609405518,1179
1146.398864746,1180
1155.80090332,1181
1154.867553711,1182
1153.979278564,1183
1153.339019775,1184
1152.489074707,1185
1151.680053711,1186
1151.221923828,1187
1150.782623291,1188
1150.328063965,1189
1149.80178833,1190
1149.304473877,1191
1148.810272217,1192
1148.460205078,1193
1148.140106201,1194
1147.753479004,1195
1147.373291016,1196
1147.04888916,1197
1146.738342285,1198
1146.469573975,1199
1146.22354126,1200
1155.70715332,1201
1154.849700928,1202
1153.864746094,1203
1153.12701416,1204
1152.409729004,1205
1151.575439453,1206
1151.048614502,1207
1150.595275879,1208
1150.182037354,1209
1149.702911377,1210
1149.206542969,1211
1148.746795654,1212
1148.417053223,1213
1148.102874756,1214
1147.730377197,1215
1147.392822266,1216
1147.052947998,1217
1146.768157959,1218
1146.506378174,1219
1146.26449585,1220
1155.581573486,1221
1154.696746826,1222
1153.67666626,1223
1153.110321045,1224
1152.537261963,1225
1151.800140381,1226
1151.322723389,1227
1150.855834961,1228
1150.375854492,1229
1149.931610107,1230
1149.519775391,1231
1149.083648682,1232
1148.725585938,1233
1148.458892822,1234
1148.085449219,1235
1147.74710083,1236
1147.46105957,1237
1147.156341553,1238
1146.895874023,1239
1146.663635254,1240
1155.426147461,1241
1154.417175293,1242
1153.487884521,1243
1153.0887146,1244
1152.558013916,1245
1152.013549805,1246
1151.5809021,1247
1151.173156738,1248
1150.747344971,1249
1150.306304932,1250
1149.857757568,1251
1149.469818115,1252
1149.203857422,1253
1148.885742188,1254
1148.538360596,1255
1148.207641602,1256
1147.912963867,1257
1147.626098633,1258
1147.400054932,1259
1147.171295166,1260
1155.14553833,1261
1154.074768066,1262
1153.272033691,1263
1152.825836182,1264
1152.559387207,1265
1152.104614258,1266
1151.702728271,1267
1151.287414551,1268
1150.898651123,1269
1150.491210938,1270
1150.09262085,1271
1149.716705322,1272
1149.40447998,1273
1149.159973145,1274
1148.774414062,1275
1148.487091064,1276
1148.220550537,1277
1147.959228516,1278
1147.720458984,1279
1147.488616943,1280
1154.955993652,1281
1153.885498047,1282
1152.994567871,1283
1152.548706055,1284
1152.331176758,1285
1151.961547852,1286
1151.61151123,1287
1151.21673584,1288
1150.847900391,1289
1150.437683105,1290
1150.028503418,1291
1149.665893555,1292
1149.426025391,1293
1149.156433105,1294
1148.778808594,1295
1148.502563477,1296
1148.278015137,1297
1148.022216797,1298
1147.797180176,1299
1147.578735352,1300
1154.997009277,1301
1153.82131958,1302
1152.668914795,1303
1152.414245605,1304
1152.096801758,1305
1151.738677979,1306
1151.404266357,1307
1151.073516846,1308
1150.698516846,1309
1150.325439453,1310
1149.930755615,1311
1149.564910889,1312
1149.350402832,1313
1149.086578369,1314
1148.770111084,1315
1148.503967285,1316
1148.259857178,1317
1148.035369873,1318
1147.812286377,1319
1147.595153809,1320
1155.300476074,1321
1154.048156738,1322
1152.621612549,1323
1152.28213501,1324
1151.949737549,1325
1151.585266113,1326
1151.295837402,1327
1150.953582764,1328
1150.611450195,1329
1150.252319336,1330
1149.867401123,1331
1149.551544189,1332
1149.307250977,1333
1149.113983154,1334
1148.826202393,1335
1148.55279541,1336
1148.327911377,1337
1148.093811035,1338
1147.831848145,1339
1147.611480713,1340
