Plot,Dry_yld_22
943,13630.985644531
944,13557.684342448
945,13509.831282552
946,13421.891835938
947,13420.520182292
948,13453.815917969
949,13597.752604167
950,13853.662226563
951,13891.403613281
952,13488.614518229
953,12957.82360026
954,13005.71171875
955,13300.563509115
956,13467.188639323
957,13346.733333333
958,12896.062578125
959,12336.798535156
960,11451.572167969
961,10562.707682292
962,11690.545605469
963,11375.851318359
964,11480.740288628
965,12717.747623698
966,13800.47913954
967,13810.373345269
968,13293.385606554
969,12760.619824219
970,12591.031738281
971,12346.813123915
972,12509.54554579
973,12944.491080729
974,13013.843560113
975,12840.354031033
976,12737.310818142
977,12468.600260417
978,12444.521077474
979,12642.279052734
980,13197.474202474
981,13495.858300781
982,13429.435519748
983,12840.188720703
984,12302.522081163
985,12235.73219401
986,12427.001925998
987,12755.42578125
988,12618.180501302
989,12247.273014323
990,11886.700575087
991,11405.896972656
992,10798.698730469
993,11764.477213542
994,11304.593126085
995,11635.147786458
996,13224.039713542
997,14014.248019748
998,13903.607449002
999,13179.072265625
1000,12617.809798177
1001,12522.519341363
1002,12175.476155599
1003,12410.773871528
1004,12654.081933594
1005,12665.718695747
1006,12498.251085069
1007,12395.93891059
1008,11977.829361979
1009,11814.714246962
1010,12167.62109375
1011,12864.456678602
1012,13087.730761719
1013,13046.286159939
1014,12671.770914714
1015,12095.702799479
1016,11447.520377604
1017,11441.584933811
1018,12250.252115885
1019,12201.467366536
1020,11120.795507813
1021,11372.842746311
1022,11306.043158637
1023,10552.829833984
1024,11719.558496094
1025,11332.22672526
1026,11739.089789497
1027,13371.45608724
1028,14081.018012153
1029,13920.619954427
1030,13433.273925781
1031,13413.674609375
1032,13510.331027561
1033,13436.021158854
1034,13290.815456814
1035,13387.557259115
1036,13262.135986328
1037,13162.047471788
1038,13064.759494358
1039,12654.731705729
1040,12189.776692708
1041,12441.781385634
1042,12876.723497179
1043,13005.864388021
1044,13062.638834635
1045,12838.546495226
1046,12412.953423394
1047,11606.099251302
1048,11440.321370443
1049,12313.238471137
1050,12141.751654731
1051,11033.984863281
1052,10643.123101128
1053,10739.384629991
1054,10131.285400391
1055,11358.063984375
1056,11229.638802083
1057,11760.19046224
1058,12896.794765625
1059,13677.131738281
1060,13760.602213542
1061,13662.427832031
1062,13785.468046875
1063,13866.725976562
1064,13839.86484375
1065,13804.961523438
1066,13781.502734375
1067,13700.842578125
1068,13663.900553385
1069,13617.895410156
1070,13430.868671875
1071,12973.244596354
1072,12822.365234375
1073,12964.784700521
1074,13006.50703125
1075,12990.667513021
1076,12900.194205729
1077,12536.875292969
1078,11841.68484375
1079,11715.59140625
1080,12123.028125
1081,11799.51656901
1082,11313.144765625
1083,10964.512727865
1084,10918.484407552
1085,10440.207454427
1086,10798.316373698
1087,11605.370252821
1088,12349.969645182
1089,12856.257877604
1090,13615.165201823
1091,13934.247612847
1092,14121.731119792
1093,14196.059244792
1094,14144.449734158
1095,14070.86178928
1096,14052.666042752
1097,14014.758496094
1098,13959.172200521
1099,13940.957302517
1100,13919.239800347
1101,13769.248860677
1102,13386.271240234
1103,13062.79163954
1104,13075.016303168
1105,13002.785481771
1106,12808.964463976
1107,12537.71750217
1108,12332.331108941
1109,12178.910351562
1110,11914.00632053
1111,11544.887641059
1112,11167.908365885
1113,10769.48453776
1114,11280.120496962
1115,11502.268527561
1116,11126.967827691
1117,10336.886979167
1118,11428.825439453
1119,12822.865668403
1120,13530.325292969
1121,13971.197455512
1122,14476.971028646
1123,14822.515245226
1124,14858.053483073
1125,14725.23695204
1126,14577.913085937
1127,14475.576063368
1128,14412.893489583
1129,14296.956163194
1130,14218.500623915
1131,14133.147406684
1132,13929.1203125
1133,13563.484049479
1134,13206.740587023
1135,13098.226101345
1136,13031.027376302
1137,12864.43085395
1138,12677.50241428
1139,12609.771348741
1140,12467.175227865
1141,12143.105821398
1142,11571.779649523
1143,10824.433213976
1144,10542.314420573
1145,10915.020534939
1146,11444.427815755
1147,11330.978081597
