OID_,FID,X,Y,Extract_GALa2_dry_vol
268,267,-93.539126409999980,44.065376369999996,239.540496826000009
269,268,-93.539126409999980,44.065337769999999,235.477695465000011
270,269,-93.539126409999980,44.065299169999989,235.486843109000006
271,270,-93.539126409999980,44.065260569999992,236.626399993999996
272,271,-93.539126409999980,44.065221970000003,236.664134979000011
273,272,-93.539126409999980,44.065183370000000,238.701042174999998
274,273,-93.539126409999980,44.065144769999989,240.001663207999997
275,274,-93.539126409999980,44.065106169999993,239.789608001999994
276,275,-93.539126409999980,44.065067569999997,239.082096100000001
277,276,-93.539126409999980,44.065028970000000,241.041561126999994
278,277,-93.539126409999980,44.064990369999990,243.705177307000014
279,278,-93.539126409999980,44.064951769999986,242.700256348000011
280,279,-93.539126409999980,44.064913169999997,241.317813873000006
281,280,-93.539087809999970,44.065646569999991,188.495399474999999
282,281,-93.539087809999970,44.065607969999988,178.767276764000002
283,282,-93.539087809999970,44.065569369999992,171.857269287000008
284,283,-93.539087809999970,44.065530769999995,182.616363524999997
285,284,-93.539087809999970,44.065492169999999,204.238479613999999
286,285,-93.539087809999970,44.065453569999981,225.083629607999995
287,286,-93.539087809999970,44.065414969999992,239.320308684999986
288,287,-93.539087809999970,44.065376369999996,239.800701140999990
289,288,-93.539087809999970,44.065337769999999,237.102020264000004
290,289,-93.539087809999970,44.065299169999989,240.222450256000002
291,290,-93.539087809999970,44.065260569999992,244.004840851000012
292,291,-93.539087809999970,44.065221970000003,244.769527434999986
293,292,-93.539087809999970,44.065183370000000,244.705512999999996
294,293,-93.539087809999970,44.065144769999989,244.626499176000010
295,294,-93.539087809999970,44.065106169999993,245.071025848000005
296,295,-93.539087809999970,44.065067569999997,245.648239136000001
297,296,-93.539087809999970,44.065028970000000,246.757972717000001
298,297,-93.539087809999970,44.064990369999990,246.836181640999996
299,298,-93.539087809999970,44.064951769999986,247.510044098000009
300,299,-93.539087809999970,44.064913169999997,247.807331084999987
301,300,-93.539049210000002,44.065646569999991,185.980201720999986
302,301,-93.539049210000002,44.065607969999988,173.367813109999986
303,302,-93.539049210000002,44.065569369999992,163.490909576000007
304,303,-93.539049210000002,44.065530769999995,171.685787201000011
305,304,-93.539049210000002,44.065492169999999,184.920650482000013
306,305,-93.539049210000002,44.065453569999981,209.169761657999999
307,306,-93.539049210000002,44.065414969999992,228.622879028000000
308,307,-93.539049210000002,44.065376369999996,232.139972687000011
309,308,-93.539049210000002,44.065337769999999,231.778633117999988
310,309,-93.539049210000002,44.065299169999989,235.758644104000012
311,310,-93.539049210000002,44.065260569999992,240.809776306000003
312,311,-93.539049210000002,44.065221970000003,241.677654265999990
313,312,-93.539049210000002,44.065183370000000,239.419776917000007
314,313,-93.539049210000002,44.065144769999989,236.470890045000004
315,314,-93.539049210000002,44.065106169999993,237.376773834000005
316,315,-93.539049210000002,44.065067569999997,241.319187163999999
317,316,-93.539049210000002,44.065028970000000,240.714214325000000
318,317,-93.539049210000002,44.064990369999990,236.027809143000013
319,318,-93.539049210000002,44.064951769999986,235.297199248999988
320,319,-93.539049210000002,44.064913169999997,238.427001953000001
321,320,-93.539010609999991,44.065646569999991,183.970569611000002
322,321,-93.539010609999991,44.065607969999988,171.851619720000002
323,322,-93.539010609999991,44.065569369999992,161.837966918999996
324,323,-93.539010609999991,44.065530769999995,173.525699615000008
325,324,-93.539010609999991,44.065492169999999,185.282142639000000
326,325,-93.539010609999991,44.065453569999981,201.819522857999999
327,326,-93.539010609999991,44.065414969999992,221.621059417999987
328,327,-93.539010609999991,44.065376369999996,226.901367187999995
329,328,-93.539010609999991,44.065337769999999,228.131217956999990
330,329,-93.539010609999991,44.065299169999989,230.899944304999991
331,330,-93.539010609999991,44.065260569999992,233.392314911000000
332,331,-93.539010609999991,44.065221970000003,234.571334839000002
333,332,-93.539010609999991,44.065183370000000,232.907211303999986
334,333,-93.539010609999991,44.065144769999989,230.633155823000010
335,334,-93.539010609999991,44.065106169999993,231.493061065999996
336,335,-93.539010609999991,44.065067569999997,234.824626923000011
337,336,-93.539010609999991,44.065028970000000,232.425003051999994
338,337,-93.539010609999991,44.064990369999990,225.204551696999999
339,338,-93.539010609999991,44.064951769999986,224.379013062000013
340,339,-93.539010609999991,44.064913169999997,230.523303986000002
341,340,-93.538972010000009,44.065646569999991,181.054367065000008
342,341,-93.538972010000009,44.065607969999988,171.701782226999995
343,342,-93.538972010000009,44.065569369999992,163.253845215000013
344,343,-93.538972010000009,44.065530769999995,174.946327209000003
345,344,-93.538972010000009,44.065492169999999,187.207454681000002
346,345,-93.538972010000009,44.065453569999981,206.868091582999995
347,346,-93.538972010000009,44.065414969999992,224.694610595999990
348,347,-93.538972010000009,44.065376369999996,230.991657257000014
349,348,-93.538972010000009,44.065337769999999,231.516349792000000
350,349,-93.538972010000009,44.065299169999989,231.104766845999990
351,350,-93.538972010000009,44.065260569999992,231.135208129999995
352,351,-93.538972010000009,44.065221970000003,231.692726134999987
353,352,-93.538972010000009,44.065183370000000,231.548439026000011
354,353,-93.538972010000009,44.065144769999989,229.830104828000003
355,354,-93.538972010000009,44.065106169999993,228.458618164000001
356,355,-93.538972010000009,44.065067569999997,229.862377167000005
357,356,-93.538972010000009,44.065028970000000,228.400485992000000
358,357,-93.538972010000009,44.064990369999990,223.608219147000000
359,358,-93.538972010000009,44.064951769999986,222.677524567000006
360,359,-93.538972010000009,44.064913169999997,227.449020386000001
361,360,-93.538933409999999,44.065646569999991,175.072975159000009
362,361,-93.538933409999999,44.065607969999988,170.022312163999999
363,362,-93.538933409999999,44.065569369999992,163.688930510999995
364,363,-93.538933409999999,44.065530769999995,173.575042725000003
365,364,-93.538933409999999,44.065492169999999,186.407562256000006
366,365,-93.538933409999999,44.065453569999981,209.124958037999988
367,366,-93.538933409999999,44.065414969999992,228.637783051000014
368,367,-93.538933409999999,44.065376369999996,235.761405945000007
369,368,-93.538933409999999,44.065337769999999,234.974712371999999
370,369,-93.538933409999999,44.065299169999989,232.021141051999990
371,370,-93.538933409999999,44.065260569999992,229.733181000000002
372,371,-93.538933409999999,44.065221970000003,230.430347442999988
373,372,-93.538933409999999,44.065183370000000,231.007011414000004
374,373,-93.538933409999999,44.065144769999989,228.338134765999996
375,374,-93.538933409999999,44.065106169999993,224.465728759999990
376,375,-93.538933409999999,44.065067569999997,225.133693695000005
377,376,-93.538933409999999,44.065028970000000,227.390491486000002
378,377,-93.538933409999999,44.064990369999990,226.849559784000007
379,378,-93.538933409999999,44.064951769999986,227.174839020000007
380,379,-93.538933409999999,44.064913169999997,228.834617615000013
381,380,-93.538894809999988,44.065646569999991,168.297252654999994
382,381,-93.538894809999988,44.065607969999988,166.062618256000007
383,382,-93.538894809999988,44.065569369999992,163.127166748000008
384,383,-93.538894809999988,44.065530769999995,177.550487518000011
385,384,-93.538894809999988,44.065492169999999,188.304676056000005
386,385,-93.538894809999988,44.065453569999981,206.365200042999987
387,386,-93.538894809999988,44.065414969999992,223.489463806000003
388,387,-93.538894809999988,44.065376369999996,230.356094359999986
389,388,-93.538894809999988,44.065337769999999,230.963680267000001
390,389,-93.538894809999988,44.065299169999989,227.811233520999991
391,390,-93.538894809999988,44.065260569999992,224.571468353000000
392,391,-93.538894809999988,44.065221970000003,225.371437073000010
393,392,-93.538894809999988,44.065183370000000,225.755714417000007
394,393,-93.538894809999988,44.065144769999989,224.184944153000004
395,394,-93.538894809999988,44.065106169999993,220.325847626000012
396,395,-93.538894809999988,44.065067569999997,220.258609772000000
397,396,-93.538894809999988,44.065028970000000,223.884738921999997
398,397,-93.538894809999988,44.064990369999990,227.113044739000003
399,398,-93.538894809999988,44.064951769999986,230.420761107999994
400,399,-93.538894809999988,44.064913169999997,232.566139220999986
401,400,-93.538856210000006,44.065646569999991,164.808593750000000
402,401,-93.538856210000006,44.065607969999988,163.611156464000004
403,402,-93.538856210000006,44.065569369999992,165.176929473999991
404,403,-93.538856210000006,44.065530769999995,186.283756256000004
405,404,-93.538856210000006,44.065492169999999,201.403743743999996
406,405,-93.538856210000006,44.065453569999981,212.301013947000001
407,406,-93.538856210000006,44.065414969999992,222.042461395000004
408,407,-93.538856210000006,44.065376369999996,225.689643859999990
409,408,-93.538856210000006,44.065337769999999,225.853736876999989
410,409,-93.538856210000006,44.065299169999989,225.142925262000006
411,410,-93.538856210000006,44.065260569999992,225.042255401999995
412,411,-93.538856210000006,44.065221970000003,227.649944304999991
413,412,-93.538856210000006,44.065183370000000,229.519500732000012
414,413,-93.538856210000006,44.065144769999989,229.646335601999994
415,414,-93.538856210000006,44.065106169999993,227.544261932000012
416,415,-93.538856210000006,44.065067569999997,224.600070952999999
417,416,-93.538856210000006,44.065028970000000,224.610736846999998
418,417,-93.538856210000006,44.064990369999990,228.308570862000010
419,418,-93.538856210000006,44.064951769999986,233.616733551000010
420,419,-93.538856210000006,44.064913169999997,236.574134826999995
421,420,-93.538817609999995,44.065646569999991,162.094058990000008
422,421,-93.538817609999995,44.065607969999988,160.794349670000003
423,422,-93.538817609999995,44.065569369999992,170.747951508000000
424,423,-93.538817609999995,44.065530769999995,195.968727112000010
425,424,-93.538817609999995,44.065492169999999,210.184520721000013
426,425,-93.538817609999995,44.065453569999981,219.024906157999993
427,426,-93.538817609999995,44.065414969999992,225.224678039999986
428,427,-93.538817609999995,44.065376369999996,225.730064392000003
429,428,-93.538817609999995,44.065337769999999,224.558403015000010
430,429,-93.538817609999995,44.065299169999989,225.646957396999994
431,430,-93.538817609999995,44.065260569999992,229.184135437000009
432,431,-93.538817609999995,44.065221970000003,234.265274048000009
433,432,-93.538817609999995,44.065183370000000,237.013687134000008
434,433,-93.538817609999995,44.065144769999989,238.652118682999998
435,434,-93.538817609999995,44.065106169999993,237.920585632000012
436,435,-93.538817609999995,44.065067569999997,233.912204742000000
437,436,-93.538817609999995,44.065028970000000,230.876899718999994
438,437,-93.538817609999995,44.064990369999990,232.044265746999997
439,438,-93.538817609999995,44.064951769999986,235.060180664000001
440,439,-93.538817609999995,44.064913169999997,237.120105743000011
441,440,-93.538779009999999,44.065646569999991,156.400657654000014
442,441,-93.538779009999999,44.065607969999988,155.441539763999998
443,442,-93.538779009999999,44.065569369999992,169.944545745999989
444,443,-93.538779009999999,44.065530769999995,189.665771484000004
445,444,-93.538779009999999,44.065492169999999,201.186111449999999
446,445,-93.538779009999999,44.065453569999981,215.951808929000009
447,446,-93.538779009999999,44.065414969999992,226.858734131000006
448,447,-93.538779009999999,44.065376369999996,228.884593964000004
449,448,-93.538779009999999,44.065337769999999,228.026615142999987
450,449,-93.538779009999999,44.065299169999989,229.213401793999992
451,450,-93.538779009999999,44.065260569999992,233.015762329000012
