OID_,FID,X,Y,Extract_GALa1_crp_fw_v
346,345,-93.538972010000009,44.065453569999981,1267.071319579999908
347,346,-93.538972010000009,44.065414969999992,1448.337677001999964
348,347,-93.538972010000009,44.065376369999996,1492.352996825999981
349,348,-93.538972010000009,44.065337769999999,1484.492034912000008
350,349,-93.538972010000009,44.065299169999989,1482.251831054999911
351,350,-93.538972010000009,44.065260569999992,1469.012329101999967
352,351,-93.538972010000009,44.065221970000003,1473.977844237999989
353,352,-93.538972010000009,44.065183370000000,1480.015441895000095
354,353,-93.538972010000009,44.065144769999989,1467.948822021000069
355,354,-93.538972010000009,44.065106169999993,1457.622070312000005
356,355,-93.538972010000009,44.065067569999997,1483.807800292999900
357,356,-93.538972010000009,44.065028970000000,1463.385772704999908
358,357,-93.538972010000009,44.064990369999990,1400.091033936000031
359,358,-93.538972010000009,44.064951769999986,1398.567047119000108
360,359,-93.538972010000009,44.064913169999997,1447.297149658000080
361,360,-93.538933409999999,44.065646569999991,1168.946014403999925
362,361,-93.538933409999999,44.065607969999988,1175.570556640999939
363,362,-93.538933409999999,44.065569369999992,1025.702301024999997
364,363,-93.538933409999999,44.065530769999995,1142.157165526999961
365,364,-93.538933409999999,44.065492169999999,943.378402710000046
366,365,-93.538933409999999,44.065453569999981,1273.552917479999905
367,366,-93.538933409999999,44.065414969999992,1492.348937987999989
368,367,-93.538933409999999,44.065376369999996,1531.149963378999928
369,368,-93.538933409999999,44.065337769999999,1505.242126464999956
370,369,-93.538933409999999,44.065299169999989,1475.092773437999995
371,370,-93.538933409999999,44.065260569999992,1442.856567383000083
372,371,-93.538933409999999,44.065221970000003,1458.468505859000061
373,372,-93.538933409999999,44.065183370000000,1473.845581054999911
374,373,-93.538933409999999,44.065144769999989,1441.057403563999969
375,374,-93.538933409999999,44.065106169999993,1365.193969726999967
376,375,-93.538933409999999,44.065067569999997,1376.121643065999933
377,376,-93.538933409999999,44.065028970000000,1416.621215820000089
378,377,-93.538933409999999,44.064990369999990,1408.367889403999925
379,378,-93.538933409999999,44.064951769999986,1420.891571045000092
380,379,-93.538933409999999,44.064913169999997,1417.672149658000080
381,380,-93.538894809999988,44.065646569999991,1075.925476074000017
382,381,-93.538894809999988,44.065607969999988,1134.355651854999905
383,382,-93.538894809999988,44.065569369999992,1015.199325562000013
384,383,-93.538894809999988,44.065530769999995,1163.624511719000111
385,384,-93.538894809999988,44.065492169999999,1068.213287353999931
386,385,-93.538894809999988,44.065453569999981,1235.397308350000003
387,386,-93.538894809999988,44.065414969999992,1394.529815674000019
388,387,-93.538894809999988,44.065376369999996,1465.961914062000005
389,388,-93.538894809999988,44.065337769999999,1475.397308350000003
390,389,-93.538894809999988,44.065299169999989,1430.475585937999995
391,390,-93.538894809999988,44.065260569999992,1396.977600098000039
392,391,-93.538894809999988,44.065221970000003,1408.510864258000083
393,392,-93.538894809999988,44.065183370000000,1424.846984862999989
394,393,-93.538894809999988,44.065144769999989,1398.097076415999936
395,394,-93.538894809999988,44.065106169999993,1340.136230469000111
396,395,-93.538894809999988,44.065067569999997,1377.074859619000108
397,396,-93.538894809999988,44.065028970000000,1418.142730712999992
398,397,-93.538894809999988,44.064990369999990,1436.860198975000003
399,398,-93.538894809999988,44.064951769999986,1456.192901611000025
400,399,-93.538894809999988,44.064913169999997,1488.217620850000003
401,400,-93.538856210000006,44.065646569999991,1086.213531494000108
402,401,-93.538856210000006,44.065607969999988,1117.864807128999928
403,402,-93.538856210000006,44.065569369999992,977.006103516000053
404,403,-93.538856210000006,44.065530769999995,1199.964782714999956
405,404,-93.538856210000006,44.065492169999999,1161.573486327999944
406,405,-93.538856210000006,44.065453569999981,1315.039154052999947
407,406,-93.538856210000006,44.065414969999992,1426.584899901999961
408,407,-93.538856210000006,44.065376369999996,1454.493988037000008
409,408,-93.538856210000006,44.065337769999999,1469.582061767999903
410,409,-93.538856210000006,44.065299169999989,1466.946411133000083
411,410,-93.538856210000006,44.065260569999992,1468.944580077999944
412,411,-93.538856210000006,44.065221970000003,1511.545867920000092
413,412,-93.538856210000006,44.065183370000000,1529.429016112999989
414,413,-93.538856210000006,44.065144769999989,1540.347930908000080
415,414,-93.538856210000006,44.065106169999993,1520.990081787000008
416,415,-93.538856210000006,44.065067569999997,1488.032440186000031
417,416,-93.538856210000006,44.065028970000000,1468.457489013999975
418,417,-93.538856210000006,44.064990369999990,1504.132720947000053
419,418,-93.538856210000006,44.064951769999986,1556.914184570000089
420,419,-93.538856210000006,44.064913169999997,1581.346527100000003
421,420,-93.538817609999995,44.065646569999991,1084.924499512000011
422,421,-93.538817609999995,44.065607969999988,1050.285278320000089
423,422,-93.538817609999995,44.065569369999992,812.693603516000053
