OID_,FID,X,Y,Extract_GALa2_moist
231,230,-93.539203609999987,44.065260569999992,17.614643096999998
232,231,-93.539203609999987,44.065221970000003,17.600772380999999
233,232,-93.539203609999987,44.065183370000000,17.618360518999999
234,233,-93.539203609999987,44.065144769999989,17.593147278000000
235,234,-93.539203609999987,44.065106169999993,17.570042610000002
236,235,-93.539203609999987,44.065067569999997,17.507533073000001
237,236,-93.539203609999987,44.065028970000000,17.499536990999999
238,237,-93.539203609999987,44.064990369999990,17.517328261999999
239,238,-93.539203609999987,44.064951769999986,17.530465603000000
240,239,-93.539203609999987,44.064913169999997,17.576361178999999
241,240,-93.539165010000019,44.065646569999991,17.179922103999999
242,241,-93.539165010000019,44.065607969999988,17.326232433000001
243,242,-93.539165010000019,44.065569369999992,17.705488681999999
244,243,-93.539165010000019,44.065530769999995,17.869456767999999
245,244,-93.539165010000019,44.065492169999999,17.818230628999999
246,245,-93.539165010000019,44.065453569999981,17.769289016999998
247,246,-93.539165010000019,44.065414969999992,17.925528526000001
248,247,-93.539165010000019,44.065376369999996,17.952898979000000
249,248,-93.539165010000019,44.065337769999999,17.919185637999998
250,249,-93.539165010000019,44.065299169999989,17.851827145000001
251,250,-93.539165010000019,44.065260569999992,17.774264811999998
252,251,-93.539165010000019,44.065221970000003,17.755146502999999
253,252,-93.539165010000019,44.065183370000000,17.766170502000001
254,253,-93.539165010000019,44.065144769999989,17.772154808000000
255,254,-93.539165010000019,44.065106169999993,17.752609730000000
256,255,-93.539165010000019,44.065067569999997,17.728412628000001
257,256,-93.539165010000019,44.065028970000000,17.714026450999999
258,257,-93.539165010000019,44.064990369999990,17.712016582000000
259,258,-93.539165010000019,44.064951769999986,17.706888675999998
260,259,-93.539165010000019,44.064913169999997,17.707611084000000
261,260,-93.539126409999980,44.065646569999991,17.162458897000000
262,261,-93.539126409999980,44.065607969999988,17.323223591000001
263,262,-93.539126409999980,44.065569369999992,17.710349560000001
264,263,-93.539126409999980,44.065530769999995,17.948324202999999
265,264,-93.539126409999980,44.065492169999999,17.927798748000001
266,265,-93.539126409999980,44.065453569999981,17.867556095000001
267,266,-93.539126409999980,44.065414969999992,17.946959971999998
