,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
72,Plot1067,2021,6082021,90.478,112.06,84.278,96.34399024,0.123757759,0.106557782,0.182496195,0.752079243,49.364,0.050935792,0.020672487,49.31306421,0.210722898,0.244373987,1.238533124,1.268158704,2,11,234.3805015
73,Plot1068,2021,6082021,88.358,109.83,82.166,94.20017095,0.12593033,0.108341575,0.185068349,0.748119822,49.136,0.049477446,0.018556539,49.08652255,0.214169253,0.248547942,1.243011385,1.273451764,2,12,227.553731
74,Plot1069,2021,6082021,85.645,107.72,80.143,91.94484737,0.13024227,0.114162335,0.194970942,0.743993687,49.652,0.044543487,0.016380508,49.60745651,0.225387191,0.256654399,1.257750015,1.285869391,2,13,225.180571
75,Plot107,2021,6082021,85.89,108.82,79.813,92.35619356,0.13548441,0.117764881,0.19957005,0.733440544,51.937,0.041621285,0.010630075,51.89537872,0.232307983,0.266709752,1.266969379,1.298310248,32,11,196.1795229
76,Plot1070,2021,6082021,88.218,109.85,82.078,94.1386143,0.126678222,0.109215017,0.186498836,0.747182522,49.404,0.048743155,0.018059155,49.35525684,0.215855329,0.249964813,1.245210728,1.275486572,2,14,220.7942396
77,Plot1071,2021,6082021,90.051,111.11,83.477,95.60861926,0.123037893,0.10468729,0.178945311,0.751300513,48.692,0.052562904,0.020228501,48.6394371,0.20710483,0.243081976,1.23385637,1.265399143,2,15,211.4456058
78,Plot1072,2021,6082021,90.324,111.18,85.143,96.20940326,0.117872844,0.103501667,0.179235311,0.765812196,46.893,0.053283656,0.027979361,46.83971634,0.204809296,0.232927612,1.230902086,1.255354434,2,16,222.499479
79,Plot1073,2021,6082021,96.807,118.43,94.141,103.6979396,0.107319171,0.100461352,0.178560811,0.794908385,45.912,0.055271545,0.043207339,45.85672846,0.198915156,0.2122875,1.223361947,1.234791344,2,17,217.5625296
80,Plot1074,2021,6082021,97.146,120.32,95.455,104.9220421,0.110882857,0.106563785,0.189933695,0.793342753,48.039,0.050122555,0.042557067,47.98887745,0.210734502,0.219108914,1.238548165,1.245811795,2,18,221.8875934
81,Plot1075,2021,6082021,96.593,119.41,92.076,103.3875323,0.117315299,0.105632792,0.184116456,0.771091198,50.151,0.051351114,0.030824561,50.09964889,0.208934236,0.231716549,1.236217945,1.256091222,2,19,210.137481
82,Plot1076,2021,6082021,99.06,122.75,96.37,106.7202308,0.11355544,0.10680312,0.18885523,0.78509165,50.07,0.050078572,0.038242504,50.01992143,0.211197134,0.224309579,1.239147991,1.250560422,2,20,212.932531
83,Plot1077,2021,6082021,97.376,120.77,94.197,104.7863749,0.115367121,0.107240105,0.188738917,0.779970191,49.967,0.049805502,0.035556424,49.9171945,0.212041638,0.227834164,1.240244003,1.254028145,2,21,214.824508
84,Plot1078,2021,6082021,102.85,127.56,100.93,111.1103671,0.111876226,0.107243609,0.190840284,0.791235497,51.34,0.049586527,0.041474015,51.29041347,0.212048409,0.22102874,1.240252795,1.248060085,2,22,213.0415452
85,Plot1079,2021,6082021,105.95,130.43,104.38,114.2111667,0.107239118,0.103562061,0.185454545,0.80027601,50.53,0.05252964,0.046079352,50.47747036,0.204926267,0.212066338,1.231052383,1.237187703,2,23,209.1299963
86,Plot108,2021,6082021,86.342,109.84,80.95,93.22494134,0.135379304,0.119776534,0.20391905,0.736981063,52.388,0.039832282,0.012593277,52.34816772,0.236164947,0.26636846,1.272150286,1.299762996,32,12,181.281216
87,Plot1080,2021,6082021,105.86,130.5,106.16,114.7555884,0.103547419,0.104247758,0.189247312,0.81348659,48.98,0.051687493,0.052913698,48.92831251,0.20625403,0.204898867,1.232760249,1.231599087,2,24,207.1389022
88,Plot1081,2021,6082021,107.4,132.48,107.96,116.5347902,0.10326449,0.104552276,0.190115221,0.814915459,49.6,0.051402944,0.053656854,49.54859706,0.206843509,0.204353124,1.233519553,1.23138519,2,25,206.8470525
89,Plot1082,2021,6082021,103.77,128.24,102.83,112.2314861,0.10771357,0.105469592,0.189425608,0.801855895,49.88,0.050884004,0.046953769,49.829116,0.208618545,0.212966256,1.235809964,1.239560425,2,26,211.2844888
90,Plot1083,2021,6082021,91.956,116.33,89.527,100.0060974,0.123573259,0.117021787,0.205239182,0.769595117,51.177,0.041665072,0.030246497,51.13533493,0.230881856,0.243513533,1.265061551,1.27638922,2,27,208.3244223
91,Plot1084,2021,6082021,93.612,118.31,91.612,101.9039109,0.121836508,0.116542879,0.205286344,0.774338602,51.396,0.041994637,0.03276997,51.35400536,0.229962353,0.240163746,1.263833697,1.272955408,2,28,215.6951028
